=== call #2 ===
timestamp_utc: 2026-05-20T03:14:42Z
body: {"scope":"whole-book","userMessage":"TCP/IP の主な層は？"}
URL: https://web-mu-sandy-78.vercel.app/api/chat
--- begin SSE stream ---
data: {"type":"delta","text":"TCP"}

data: {"type":"delta","text":"/IP"}

data: {"type":"delta","text":"は"}

data: {"type":"delta","text":"、"}

data: {"type":"delta","text":"主"}

data: {"type":"delta","text":"に"}

data: {"type":"delta","text":"次の"}

data: {"type":"delta","text":"4"}

data: {"type":"delta","text":"つの"}

data: {"type":"delta","text":"層"}

data: {"type":"delta","text":"（"}

data: {"type":"delta","text":"階"}

data: {"type":"delta","text":"層"}

data: {"type":"delta","text":"）"}

data: {"type":"delta","text":"から"}

data: {"type":"delta","text":"構成"}

data: {"type":"delta","text":"されます"}

data: {"type":"delta","text":"。\n\n"}

data: {"type":"delta","text":"1"}

data: {"type":"delta","text":"."}

data: {"type":"delta","text":" **"}

data: {"type":"delta","text":"ア"}

data: {"type":"delta","text":"プリ"}

data: {"type":"delta","text":"ケーション"}

data: {"type":"delta","text":"層"}

data: {"type":"delta","text":"**"}

data: {"type":"delta","text":"："}

data: {"type":"delta","text":"HTTP"}

data: {"type":"delta","text":"、"}

data: {"type":"delta","text":"F"}

data: {"type":"delta","text":"TP"}

data: {"type":"delta","text":"、"}

data: {"type":"delta","text":"SM"}

data: {"type":"delta","text":"TP"}

data: {"type":"delta","text":"など"}

data: {"type":"delta","text":"、"}

data: {"type":"delta","text":"ユ"}

data: {"type":"delta","text":"ーザ"}

data: {"type":"delta","text":"ー"}

data: {"type":"delta","text":"が"}

data: {"type":"delta","text":"直接"}

data: {"type":"delta","text":"利用"}

data: {"type":"delta","text":"する"}

data: {"type":"delta","text":"プロ"}

data: {"type":"delta","text":"ト"}

data: {"type":"delta","text":"コ"}

data: {"type":"delta","text":"ル"}

data: {"type":"delta","text":"を"}

data: {"type":"delta","text":"提供"}

data: {"type":"delta","text":"します"}

data: {"type":"delta","text":"。\n"}

data: {"type":"delta","text":"2"}

data: {"type":"delta","text":"."}

data: {"type":"delta","text":" **"}

data: {"type":"delta","text":"ト"}

data: {"type":"delta","text":"ランス"}

data: {"type":"delta","text":"ポート"}

data: {"type":"delta","text":"層"}

data: {"type":"delta","text":"**"}

data: {"type":"delta","text":"："}

data: {"type":"delta","text":"TCP"}

data: {"type":"delta","text":"や"}

data: {"type":"delta","text":"U"}

data: {"type":"delta","text":"DP"}

data: {"type":"delta","text":"を用"}

data: {"type":"delta","text":"いて"}

data: {"type":"delta","text":"、"}

data: {"type":"delta","text":"データ"}

data: {"type":"delta","text":"の"}

data: {"type":"delta","text":"信"}

data: {"type":"delta","text":"頼"}

data: {"type":"delta","text":"性"}

data: {"type":"delta","text":"や"}

data: {"type":"delta","text":"順"}

data: {"type":"delta","text":"序"}

data: {"type":"delta","text":"を"}

data: {"type":"delta","text":"管理"}

data: {"type":"delta","text":"します"}

data: {"type":"delta","text":"。\n"}

data: {"type":"delta","text":"3"}

data: {"type":"delta","text":"."}

data: {"type":"delta","text":" **"}

